day,price,benchmark,vix,rate_10y
2025-11-24,99.8297,100.0744,17.9948,3.5771
2025-11-25,99.054,99.3064,19.7966,3.5995
2025-11-26,100.0378,100.245,20.3601,3.6066
2025-11-27,98.5978,99.3933,20.9897,3.6323
2025-11-28,97.1561,97.367,19.6403,3.5989
2025-11-29,97.4815,97.6134,20.3975,3.5564
2025-11-30,97.8108,98.0561,19.4454,3.6572
2025-12-01,98.3595,99.041,18.6911,3.6065
2025-12-02,98.1139,98.7725,19.7408,3.6172
2025-12-03,97.7778,98.0487,19.0768,3.6857
2025-12-04,97.1254,97.5899,19.7911,3.5889
2025-12-05,97.2261,98.2387,17.1031,3.5661
2025-12-06,97.1915,97.837,18.2091,3.5597
2025-12-07,95.9687,97.1443,19.3813,3.6141
2025-12-08,97.2705,98.4121,19.6351,3.5315
2025-12-09,97.8677,98.6439,19.0787,3.4544
2025-12-10,97.0741,97.7174,20.9568,3.3343
2025-12-11,95.8588,96.7721,22.7618,3.3757
2025-12-12,94.2772,94.3076,22.8301,3.3365
2025-12-13,93.3836,93.9522,23.893,3.3524
2025-12-14,93.6462,94.3501,25.4609,3.3955
2025-12-15,94.1395,94.9948,22.5246,3.4766
2025-12-16,95.0052,95.9532,19.4811,3.4395
2025-12-17,95.7824,95.8279,19.3105,3.5031
2025-12-18,94.7096,95.5993,20.1591,3.4939
2025-12-19,95.0433,96.1547,20.2978,3.5629
2025-12-20,94.5345,95.5271,21.6594,3.562
2025-12-21,93.8421,95.3287,23.3889,3.5328
2025-12-22,92.7329,94.3026,22.6794,3.5136
2025-12-23,93.961,94.918,23.9793,3.437
2025-12-24,93.3518,94.6542,24.9061,3.4911
2025-12-25,93.6978,95.0027,24.376,3.5259
2025-12-26,93.6055,95.0312,24.4928,3.5249
2025-12-27,94.3052,95.8667,26.5333,3.5434
2025-12-28,93.9989,95.4307,25.5356,3.5971
2025-12-29,93.7706,95.3889,27.1856,3.4394
2025-12-30,92.8783,94.7116,26.6455,3.4561
2025-12-31,92.5737,94.7163,26.0296,3.4265
2026-01-01,94.6538,96.6663,24.3769,3.4235
2026-01-02,94.5184,96.5108,20.0375,3.3974
2026-01-03,95.4331,96.7866,19.9418,3.4587
2026-01-04,96.2257,98.1086,17.6536,3.4391
2026-01-05,95.9882,98.1672,19.4795,3.2806
2026-01-06,96.9863,98.3845,20.4798,3.1998
2026-01-07,97.198,99.0852,20.2063,3.2233
2026-01-08,97.9536,99.7921,20.0559,3.3264
2026-01-09,98.9367,100.5004,23.7537,3.2645
2026-01-10,99.8105,101.1236,23.3693,3.3162
2026-01-11,100.07,101.6266,20.802,3.233
2026-01-12,100.6838,101.7049,19.2958,3.1555
2026-01-13,101.8918,103.0725,21.39,3.113
2026-01-14,101.9538,102.5857,22.2157,3.2238
2026-01-15,101.1982,102.6484,23.2172,3.2242
2026-01-16,99.4628,101.7907,22.6046,3.1991
2026-01-17,99.8802,102.3303,24.2364,3.1499
2026-01-18,100.9615,103.9457,25.5614,3.1531
2026-01-19,100.3461,103.872,24.8827,3.1744
2026-01-20,101.6925,104.9222,21.0497,3.1642
2026-01-21,100.0567,103.8627,21.3203,3.141
2026-01-22,100.1081,104.2857,21.2288,3.2349
2026-01-23,100.113,104.7668,23.058,3.3421
2026-01-24,99.5677,104.6851,20.0667,3.2834
2026-01-25,97.8686,103.6586,18.3936,3.2913
2026-01-26,97.758,103.5343,17.836,3.3137
2026-01-27,99.3927,105.0151,18.8774,3.3812
2026-01-28,99.2752,104.3028,18.296,3.4503
2026-01-29,97.8639,102.7504,19.9116,3.4999
2026-01-30,97.9293,103.1698,20.1489,3.4292
2026-01-31,96.6097,101.6801,21.3723,3.3981
2026-02-01,95.8831,100.6661,19.0986,3.3951
2026-02-02,94.9227,99.9629,16.0476,3.419
2026-02-03,94.4315,98.6386,17.6189,3.4057
2026-02-04,92.5929,96.6069,18.3689,3.3819
2026-02-05,93.2984,97.547,19.513,3.4063
2026-02-06,94.4743,98.8709,20.1952,3.285
2026-02-07,95.2933,100.1711,19.7651,3.2654
2026-02-08,97.0145,100.9055,20.4333,3.4202
2026-02-09,96.2628,100.543,22.9149,3.4162
2026-02-10,96.8068,101.4232,21.2549,3.4142
2026-02-11,97.12,102.0677,21.02,3.4059
2026-02-12,95.4327,100.2985,22.0708,3.4158
2026-02-13,94.0392,98.3848,25.3602,3.4875
2026-02-14,95.0488,97.1619,25.3952,3.5169
2026-02-15,97.7605,99.9185,24.4948,3.5475
2026-02-16,94.5196,98.0289,24.2592,3.5035
2026-02-17,96.6401,101.4535,21.727,3.4634
2026-02-18,97.109,102.0793,20.93,3.4064
2026-02-19,100.5998,106.148,19.1783,3.3295
2026-02-20,103.5025,109.6953,21.7599,3.3849
2026-02-21,101.9577,108.5999,18.5798,3.3446
2026-02-22,101.8454,109.0334,17.8106,3.3434
2026-02-23,102.6291,110.1486,19.0003,3.3622
2026-02-24,102.0537,110.4159,19.2169,3.3181
2026-02-25,100.9575,109.4611,19.1864,3.3348
2026-02-26,100.9466,109.6677,19.1272,3.2659
2026-02-27,101.6596,111.3615,19.8449,3.2639
2026-02-28,102.421,111.2104,17.3083,3.2769
2026-03-01,100.7906,110.4589,16.2486,3.1281
2026-03-02,98.9993,110.3256,16.2958,3.0609
2026-03-03,97.7047,109.6412,17.5222,3.089
2026-03-04,100.1596,112.6944,17.8656,3.1413
2026-03-05,102.9669,116.3643,19.5678,3.0906
2026-03-06,102.6968,116.8832,19.2324,3.1712
2026-03-07,103.7276,118.8395,19.0609,3.3371
2026-03-08,105.9039,120.7988,19.324,3.4993
2026-03-09,105.2753,121.1455,20.749,3.4997
2026-03-10,103.176,119.344,21.1219,3.5675
2026-03-11,104.5389,120.7665,22.1059,3.5972
2026-03-12,104.8946,121.2311,21.4615,3.6345
2026-03-13,103.0042,118.785,21.249,3.5413
2026-03-14,102.2307,116.0561,20.1397,3.5737
2026-03-15,103.2048,116.9986,19.8054,3.4858
2026-03-16,106.4013,120.6486,21.3108,3.4334
2026-03-17,106.0556,118.508,22.1678,3.4922
2026-03-18,102.6241,115.2537,22.6936,3.3868
2026-03-19,99.4291,111.2163,21.4401,3.3071
2026-03-20,99.4727,111.5476,22.08,3.357
2026-03-21,102.0037,115.1182,19.997,3.3324
2026-03-22,100.1552,112.3473,19.8877,3.3394
2026-03-23,100.9801,111.6728,18.2337,3.3444
2026-03-24,100.6276,111.1002,18.4133,3.3051
2026-03-25,101.8171,112.605,18.5328,3.2725
2026-03-26,101.5055,109.7617,17.4282,3.2839
2026-03-27,98.8999,107.6061,18.013,3.2099
2026-03-28,98.4687,106.9725,18.9319,3.2582
2026-03-29,98.3981,106.1852,18.8973,3.2639
2026-03-30,99.6168,107.6202,18.0873,3.1921
2026-03-31,98.975,106.4057,16.8731,3.1975
2026-04-01,98.1389,105.7886,18.0486,3.1848
2026-04-02,102.0068,109.0949,19.8286,3.2047
2026-04-03,103.9322,108.6949,18.8398,3.2313
2026-04-04,104.9862,111.8433,19.4493,3.3189
2026-04-05,106.3436,114.0274,20.2205,3.3168
2026-04-06,107.2534,113.8669,21.7823,3.2631
2026-04-07,107.6971,116.3751,21.2133,3.2737
2026-04-08,109.8157,118.4034,19.941,3.2982
2026-04-09,110.8914,120.1614,18.907,3.4115
2026-04-10,114.0225,123.1222,19.4335,3.3893
2026-04-11,116.7522,124.9496,20.4285,3.3649
2026-04-12,115.3631,124.5098,22.1649,3.3697
2026-04-13,114.023,124.1996,21.7733,3.3936
2026-04-14,116.9635,128.177,20.8055,3.5349
2026-04-15,116.9584,129.0907,19.8108,3.5308
2026-04-16,113.4672,127.8385,21.6829,3.4566
2026-04-17,110.5524,123.3476,23.0178,3.4308
2026-04-18,110.4276,122.9611,22.4015,3.3683
2026-04-19,110.4618,121.5502,21.9448,3.3921
2026-04-20,111.3289,122.1807,20.4331,3.406
2026-04-21,110.4005,123.0001,21.4045,3.4028
2026-04-22,109.5052,121.4773,19.9286,3.3855
2026-04-23,110.043,122.5756,20.7073,3.516
2026-04-24,108.7134,121.3897,24.3739,3.4034
2026-04-25,107.7388,120.6985,23.9263,3.4317
2026-04-26,107.2908,120.7061,23.4086,3.4807
2026-04-27,103.8281,116.5452,22.8943,3.4196
2026-04-28,101.9738,115.4544,21.5827,3.4609
2026-04-29,103.2564,117.0456,22.0311,3.4562
2026-04-30,100.7726,114.6793,22.3397,3.4262
2026-05-01,100.592,115.2905,20.8033,3.4675
2026-05-02,103.7671,117.8961,20.8806,3.4598
2026-05-03,105.7161,120.0193,21.9605,3.42
2026-05-04,105.7274,120.0404,19.2689,3.5096
2026-05-05,106.9002,119.9299,20.3834,3.5014
2026-05-06,107.5075,120.7901,18.3023,3.4886
2026-05-07,109.4654,122.2608,17.1761,3.4075
2026-05-08,107.8942,121.033,19.8847,3.437
2026-05-09,108.2444,123.0066,19.2008,3.399
2026-05-10,108.9633,124.1236,17.9508,3.3329
2026-05-11,109.3765,124.726,16.4939,3.3274
2026-05-12,108.6971,124.4298,16.8622,3.3292
2026-05-13,108.2686,124.8175,19.2104,3.314
2026-05-14,109.4004,125.3772,19.426,3.3664
2026-05-15,111.4211,127.0761,19.4121,3.3835
2026-05-16,109.4514,125.1972,18.5879,3.4105
2026-05-17,108.0002,122.3193,18.8514,3.4297
2026-05-18,107.3211,122.3357,18.6549,3.3962
2026-05-19,107.9686,121.8297,17.9421,3.3991
2026-05-20,109.1008,122.8144,18.6672,3.3638
2026-05-21,109.5286,124.4673,17.9405,3.5112
2026-05-22,108.7152,123.7125,18.4834,3.5722
